TransactionID,UserID,BookID,BorrowDate,ReturnDate,LateFee
1,96,361,06-07-24,06-23-24,3.15
2,186,220,01-14-24,01-25-24,
3,79,129,02-16-24,03-12-24,
4,232,268,05-09-24,05-19-24,
5,71,390,06-12-24,07-01-24,
6,256,326,09-09-24,10-06-24,
7,234,307,01-05-24,01-25-24,4.24
8,425,266,05-01-24,05-11-24,
9,128,346,08-15-24,08-25-24,
10,267,117,07-17-24,08-04-24,
11,363,369,08-30-24,09-23-24,
12,220,234,07-12-24,,
13,10,268,07-11-24,08-04-24,4.51
14,270,266,03-14-24,04-12-24,
15,19,283,06-19-24,07-02-24,0.31
16,187,294,02-04-24,02-18-24,
17,224,306,03-03-24,03-11-24,
18,293,288,09-03-24,09-19-24,
19,354,306,03-25-24,,
20,489,349,09-22-24,10-13-24,
21,305,220,08-09-24,08-20-24,
22,202,260,08-08-24,09-05-24,0.24
23,456,188,07-25-24,08-21-24,
24,171,247,07-09-24,07-27-24,
25,143,237,02-03-24,02-14-24,
26,65,375,06-10-24,06-22-24,
27,21,387,02-18-24,03-15-24,
28,497,186,03-20-24,04-18-24,
29,273,323,03-09-24,,
30,294,295,04-21-24,04-30-24,
31,410,345,09-26-24,10-04-24,
32,306,133,02-07-24,02-16-24,
33,165,361,06-11-24,06-19-24,
34,376,380,07-01-24,07-19-24,
35,500,177,06-18-24,07-12-24,
36,57,296,01-08-24,02-05-24,3
37,113,192,02-05-24,02-29-24,
38,108,176,09-20-24,10-01-24,3.48
39,217,152,03-29-24,04-10-24,3.34
40,141,107,09-03-24,09-11-24,0.73
41,196,338,02-09-24,03-03-24,
42,220,138,06-13-24,06-25-24,
43,254,113,08-11-24,08-24-24,
44,493,195,02-07-24,02-16-24,
45,393,249,07-20-24,08-14-24,
46,449,123,02-23-24,03-03-24,
47,496,355,08-21-24,09-09-24,
48,389,248,05-19-24,06-01-24,
49,315,263,02-17-24,03-03-24,
50,112,188,05-12-24,05-17-24,1.29
51,327,271,09-15-24,10-01-24,
52,348,361,08-23-24,09-18-24,
53,218,267,04-10-24,05-04-24,
54,112,334,01-03-24,01-08-24,1.47
55,113,229,09-09-24,09-26-24,
56,355,191,07-18-24,08-13-24,
57,123,119,07-22-24,,
58,210,221,05-03-24,05-21-24,
59,338,190,03-09-24,04-01-24,
60,451,103,04-22-24,05-10-24,
61,344,291,06-13-24,06-24-24,0.78
62,489,163,02-23-24,03-21-24,
63,234,340,03-10-24,04-09-24,
64,50,178,02-02-24,02-27-24,2.57
65,440,139,08-03-24,08-11-24,
66,158,355,02-21-24,03-12-24,
67,466,120,02-05-24,02-13-24,
68,282,291,03-11-24,03-27-24,
69,100,342,05-18-24,05-23-24,3.13
70,388,334,04-30-24,05-19-24,
71,87,296,06-07-24,06-27-24,3.71
72,247,371,01-09-24,02-06-24,
73,426,298,08-09-24,08-28-24,
74,60,151,04-24-24,05-06-24,
75,59,368,02-08-24,03-04-24,
76,470,229,05-12-24,,
77,352,370,03-20-24,04-07-24,
78,406,300,01-11-24,01-27-24,
79,217,220,05-21-24,06-08-24,
80,120,138,02-20-24,03-11-24,
81,490,314,02-03-24,03-02-24,
82,249,359,01-10-24,01-22-24,
83,261,235,03-19-24,04-17-24,
84,400,118,01-27-24,02-17-24,
85,224,334,03-18-24,03-30-24,
86,256,388,01-29-24,02-15-24,
87,209,235,07-06-24,07-19-24,
88,182,188,04-25-24,05-13-24,
89,51,141,03-30-24,04-16-24,
90,462,198,08-05-24,,
91,327,254,04-27-24,05-26-24,
92,281,110,04-06-24,,
93,241,327,07-29-24,08-20-24,
94,436,105,05-06-24,05-12-24,
95,500,399,07-21-24,08-02-24,0.48
96,384,267,09-16-24,10-10-24,
97,15,186,02-25-24,03-03-24,
98,425,139,05-17-24,06-05-24,0.34
99,375,114,02-01-24,02-10-24,
100,380,391,08-02-24,08-18-24,
101,381,246,05-08-24,05-18-24,
102,145,219,08-19-24,08-31-24,
103,474,289,05-15-24,,
104,495,218,01-23-24,02-03-24,4.59
105,373,215,08-14-24,,
106,69,229,10-01-24,10-16-24,
107,129,229,02-01-24,02-23-24,
108,326,243,04-16-24,04-23-24,
109,15,172,01-12-24,01-31-24,3.15
110,102,143,04-18-24,,
111,490,103,07-14-24,08-02-24,
112,236,284,04-13-24,04-18-24,
113,52,295,07-16-24,,
114,88,173,08-04-24,08-18-24,
115,394,259,07-17-24,08-06-24,
116,112,128,09-09-24,10-01-24,
117,93,264,08-23-24,09-07-24,
118,424,328,01-29-24,,
119,129,359,05-20-24,06-17-24,
120,322,239,09-15-24,09-29-24,
121,87,122,05-24-24,06-06-24,
122,181,320,01-02-24,01-08-24,
123,2,152,05-27-24,06-06-24,
124,162,162,01-02-24,01-23-24,4.85
125,74,133,03-06-24,03-18-24,
126,74,259,02-18-24,02-26-24,1.31
127,164,229,09-07-24,10-05-24,
128,102,394,08-13-24,08-18-24,
129,482,324,04-08-24,04-19-24,
130,310,369,05-03-24,05-16-24,
131,380,246,08-03-24,08-29-24,
132,237,355,02-29-24,03-17-24,0.97
133,217,370,03-08-24,04-03-24,
134,61,370,02-12-24,03-08-24,
135,340,362,01-20-24,02-10-24,
136,469,265,06-19-24,07-09-24,
137,340,377,04-16-24,05-03-24,
138,2,257,02-26-24,03-25-24,
139,331,305,05-17-24,06-16-24,
140,365,166,08-05-24,08-13-24,
141,405,348,04-03-24,04-24-24,
142,116,221,09-09-24,09-20-24,
143,123,261,01-18-24,01-23-24,0.72
144,454,259,02-14-24,03-15-24,
145,470,282,07-13-24,07-22-24,
146,377,279,03-06-24,03-29-24,
147,13,222,04-13-24,04-30-24,
148,298,251,08-03-24,08-21-24,0.29
149,436,233,02-02-24,02-14-24,
150,226,169,02-12-24,02-17-24,
151,146,211,07-17-24,08-01-24,1.62
152,372,249,06-07-24,06-15-24,
153,259,188,01-22-24,02-13-24,
154,462,291,06-25-24,07-09-24,
155,401,143,06-09-24,06-14-24,
156,306,143,06-10-24,,
157,49,157,09-11-24,09-24-24,0.04
158,40,385,03-19-24,04-09-24,
159,99,292,05-04-24,05-31-24,
160,98,185,08-27-24,09-03-24,
161,460,394,03-02-24,03-27-24,
162,193,288,09-06-24,,
163,352,247,09-26-24,10-26-24,
164,373,368,03-01-24,03-25-24,4.78
165,16,398,07-08-24,08-03-24,
166,399,298,08-18-24,09-03-24,
167,275,383,04-24-24,05-16-24,
168,482,193,09-14-24,10-14-24,
169,30,276,09-10-24,,
170,93,375,02-26-24,03-23-24,
