BookID,Title,Author,Genre,Price,PublishDate,CopiesAvailable
1,The Fascinating Saga,Michael Johnson,Science Fiction,33.79,03-30-85,9
2,The Mysterious Journey,Jane Brown,Science Fiction,44.09,04-08-18,20
3,The Amazing Tale,Michael Brown,Science Fiction,11.2,03-26-10,18
4,The Intriguing Adventure,Jane Williams,Biography,31.13,08-17-15,12
5,The Fascinating Saga,Alice Miller,Mystery,34.6,03-06-16,6
6,The Intriguing Mystery,David Garcia,Fantasy,18.45,06-27-64,7
7,The Mysterious Saga,John Davis,History,10.96,07-30-59,18
8,The Fascinating Story,David Brown,Biography,21.07,02-23-82,16
9,The Amazing Tale,Emily Brown,Biography,5.25,07-02-19,13
10,The Fascinating Tale,David Miller,Mystery,12.89,09-21-20,20
11,The Mysterious Story,Alice Jones,Fiction,8.38,02-16-16,10
12,The Wonderful Adventure,Emily Johnson,Biography,20.01,04-04-74,19
13,The Boring Journey,Jane Davis,Mystery,7.25,05-07-12,15
14,The Boring Story,Bob Johnson,Fantasy,5.86,02-22-17,3
15,The Fascinating Journey,Alice Williams,Biography,36.11,09-17-64,17
16,The Boring Journey,David Davis,History,27.89,10-04-03,19
17,The Intriguing Journey,David Brown,Fiction,9.09,03-30-37,7
18,The Wonderful Saga,Michael Smith,Science Fiction,17.92,09-30-90,3
19,The Fascinating Mystery,Michael Garcia,Mystery,40.14,10-27-29,14
20,The Fascinating Story,Sarah Johnson,Biography,33.21,05-08-23,5
21,The Fascinating Adventure,Jane Williams,History,8.22,10-13-68,11
22,The Intriguing Journey,David Miller,Mystery,40.96,05-06-20,12
23,The Intriguing Saga,Alice Davis,Mystery,20.86,09-16-09,14
24,The Intriguing Mystery,Jane Johnson,Biography,38.33,04-11-19,12
25,The Amazing Mystery,Bob Garcia,History,40.3,05-07-56,8
26,The Boring Saga,John Miller,Fiction,37.42,10-04-42,9
27,The Mysterious Journey,Bob Williams,Fantasy,29.83,12-04-60,6
28,The Mysterious Saga,Bob Miller,Fiction,35.14,01-03-56,18
29,The Amazing Saga,John Brown,Mystery,18.43,11-11-81,15
30,The Mysterious Tale,Bob Davis,Fantasy,16.01,08-06-07,13
31,The Amazing Story,David Davis,Non-Fiction,15.31,09-23-80,16
32,The Boring Story,Bob Johnson,Fiction,37.28,09-26-13,11
33,The Boring Saga,Alice Miller,Fantasy,18.88,11-03-13,6
34,The Fascinating Story,John Brown,Mystery,28.02,11-06-63,19
35,The Amazing Adventure,Alice Garcia,Science Fiction,41.53,01-28-14,15
36,The Boring Tale,Alice Smith,Fantasy,31.78,09-11-80,12
37,The Mysterious Tale,Emily Smith,Mystery,15.61,07-11-44,6
38,The Intriguing Saga,John Brown,Biography,31.35,10-06-27,15
39,The Intriguing Journey,Emily Miller,Non-Fiction,40.73,01-04-71,8
40,The Intriguing Adventure,Emily Johnson,Fiction,30.87,01-06-42,1
41,The Mysterious Mystery,Michael Johnson,Biography,8.36,10-20-61,12
42,The Fascinating Adventure,David Johnson,History,16.84,04-22-31,5
43,The Amazing Journey,David Brown,Fiction,20.46,03-18-20,6
44,The Intriguing Adventure,David Davis,Mystery,31.48,04-28-96,4
45,The Intriguing Saga,Bob Davis,Non-Fiction,46.19,11-21-64,8
46,The Fascinating Saga,Sarah Brown,Science Fiction,30.56,07-12-98,9
47,The Amazing Tale,John Garcia,Science Fiction,33.83,07-24-38,11
48,The Boring Mystery,Bob Johnson,History,20.73,07-14-33,11
49,The Fascinating Saga,David Johnson,Fantasy,14.37,01-26-97,14
50,The Boring Mystery,John Garcia,Non-Fiction,35.8,11-21-63,2
51,The Intriguing Mystery,David Smith,History,48.11,01-29-82,13
52,The Intriguing Tale,Alice Smith,History,26.06,03-28-17,17
53,The Mysterious Story,Michael Brown,Non-Fiction,41.34,08-29-06,1
54,The Boring Tale,Jane Brown,Fiction,22.75,11-07-84,14
55,The Intriguing Mystery,Alice Williams,History,24.43,08-23-12,18
56,The Boring Adventure,Sarah Williams,Fiction,10.81,02-11-95,4
57,The Amazing Story,Michael Miller,Mystery,12.6,03-26-00,14
58,The Amazing Tale,Alice Garcia,Mystery,38.1,12-10-35,15
59,The Mysterious Adventure,Bob Williams,Mystery,5.69,06-25-13,8
60,The Boring Mystery,John Miller,Fiction,43.17,11-03-23,18
61,The Fascinating Saga,Jane Brown,Non-Fiction,14.93,04-28-50,13
62,The Fascinating Tale,David Davis,Biography,8.82,05-23-92,18
63,The Fascinating Saga,Jane Garcia,Biography,25.74,11-01-37,18
64,The Amazing Tale,Emily Williams,Fiction,49.19,04-08-00,19
65,The Intriguing Mystery,Michael Williams,Non-Fiction,12.96,12-15-12,9
66,The Amazing Journey,Sarah Smith,Fantasy,39.79,06-03-74,17
67,The Wonderful Saga,Jane Williams,Biography,43.66,09-11-10,11
68,The Intriguing Saga,Jane Davis,Non-Fiction,18.63,07-23-71,16
69,The Wonderful Journey,Emily Garcia,Science Fiction,37.72,08-15-13,19
70,The Fascinating Adventure,Michael Davis,Fantasy,11.31,11-16-23,19
71,The Boring Journey,Sarah Garcia,Science Fiction,30.08,07-25-19,6
72,The Intriguing Saga,Emily Davis,Biography,14.75,12-27-69,11
73,The Amazing Mystery,David Davis,Biography,28.57,04-30-77,1
74,The Intriguing Tale,Jane Garcia,Biography,41.1,10-29-57,18
75,The Intriguing Saga,Alice Davis,History,29.8,08-06-12,4
76,The Boring Journey,Sarah Williams,Fantasy,21.76,12-09-01,14
77,The Mysterious Mystery,Michael Brown,Mystery,45.76,11-01-30,20
78,The Boring Saga,Bob Smith,Fiction,39.83,12-19-26,6
79,The Boring Mystery,David Williams,Biography,16.65,06-13-05,7
80,The Wonderful Saga,Sarah Jones,History,21.5,10-06-76,9
81,The Mysterious Adventure,John Miller,Mystery,31.8,01-31-08,14
82,The Intriguing Journey,David Garcia,History,21.15,12-14-94,8
83,The Mysterious Mystery,Emily Garcia,History,15.66,12-20-49,1
84,The Intriguing Saga,Alice Garcia,Science Fiction,9.87,05-27-71,6
85,The Boring Adventure,Bob Jones,History,33.51,05-15-04,20
86,The Mysterious Mystery,David Smith,Mystery,20.34,12-04-72,19
87,The Fascinating Adventure,Michael Davis,Biography,40.44,11-27-42,16
88,The Amazing Story,Sarah Garcia,Fantasy,46.39,12-03-22,10
89,The Wonderful Saga,Alice Smith,History,37.15,09-26-97,4
90,The Wonderful Tale,John Davis,Science Fiction,24.62,07-29-09,18
91,The Wonderful Journey,Michael Johnson,Fantasy,18.64,08-09-40,6
92,The Fascinating Tale,Michael Williams,Fantasy,28.34,09-28-78,12
93,The Mysterious Tale,Emily Miller,Mystery,8.5,07-16-76,20
94,The Intriguing Journey,John Garcia,Fiction,11.99,01-03-14,1
95,The Wonderful Journey,David Smith,History,21.8,04-06-16,6
96,The Intriguing Saga,David Brown,History,9.29,01-19-32,5
97,The Wonderful Journey,John Johnson,Science Fiction,11.65,02-10-43,4
98,The Intriguing Journey,Sarah Garcia,History,44.34,06-19-12,3
99,The Fascinating Tale,John Brown,Mystery,37.43,08-21-14,12
100,The Fascinating Mystery,Jane Brown,Science Fiction,14.3,07-28-08,9
101,The Mysterious Tale,Michael Miller,Fantasy,18.54,02-24-26,9
102,The Mysterious Mystery,David Williams,Fantasy,40.98,06-18-92,13
103,The Intriguing Mystery,Alice Miller,Fantasy,6.77,06-17-56,10
104,The Amazing Journey,Sarah Jones,Biography,6.67,11-16-62,8
105,The Mysterious Adventure,Jane Johnson,Fiction,42.92,11-29-15,9
106,The Amazing Saga,Emily Williams,Non-Fiction,22.48,05-22-75,16
107,The Wonderful Story,Sarah Smith,Biography,16.77,12-12-18,12
108,The Amazing Tale,Michael Miller,Fiction,20.77,09-10-49,4
109,The Boring Story,Alice Williams,Biography,15.19,11-26-90,5
110,The Wonderful Journey,John Brown,Biography,42.56,07-23-07,14
111,The Wonderful Saga,Alice Williams,Fantasy,24.59,06-29-21,4
112,The Amazing Journey,Sarah Davis,Non-Fiction,15.77,06-23-14,2
113,The Intriguing Adventure,Sarah Miller,Fantasy,5.94,07-06-03,20
114,The Amazing Adventure,John Miller,Mystery,47.54,04-13-06,8
115,The Wonderful Journey,David Williams,Mystery,43.57,01-02-52,7
116,The Mysterious Tale,Michael Williams,Non-Fiction,42.82,05-10-13,20
117,The Intriguing Tale,Sarah Garcia,Non-Fiction,25.65,11-14-60,3
118,The Amazing Tale,Emily Johnson,Science Fiction,36.67,12-08-48,12
119,The Boring Adventure,Alice Johnson,History,39.92,05-03-82,14
120,The Amazing Adventure,Sarah Johnson,Non-Fiction,47.34,11-28-76,11
121,The Boring Journey,Emily Garcia,Mystery,42.84,04-15-59,19
122,The Intriguing Journey,Jane Davis,Non-Fiction,16.1,06-20-20,12
123,The Wonderful Mystery,Michael Brown,Non-Fiction,26.13,11-12-00,6
124,The Mysterious Story,Alice Smith,Fantasy,37.51,03-10-91,4
